InvoiceDate,Gender,Product,Quantity,Sales
2019-08-24,Male,Smartphone,1,25000
2020-07-08,Male,Monitor,4,32000
2020-09-14,Male,Keyboard,4,6000
2020-03-04,Male,Tablet,1,30000
2020-07-01,Male,Monitor,3,24000
2021-05-09,Male,Mouse,1,1000
2019-08-26,Female,Monitor,1,8000
2020-06-14,Female,Laptop,5,300000
2018-03-07,Male,Laptop,4,240000
2018-03-22,Male,Smartphone,3,75000
2019-08-13,Male,Smartphone,1,25000
2019-08-07,Female,Smartphone,4,100000
2018-09-30,Female,Keyboard,4,6000
2019-10-10,Female,Headphones,2,4000
2019-12-06,Female,Mouse,2,2000
2019-08-14,Female,Keyboard,2,3000
2019-09-05,Female,Smartphone,5,125000
2019-06-16,Female,Tablet,5,150000
2021-12-01,Male,Laptop,1,60000
2019-12-19,Female,Smartphone,3,75000
2020-01-06,Male,Keyboard,4,6000
2019-06-13,Male,Headphones,3,6000
2019-04-18,Male,Headphones,1,2000
2021-03-02,Female,Headphones,5,10000
2020-07-09,Male,Laptop,2,120000
2020-03-05,Female,Keyboard,4,6000
2019-01-29,Female,Smartphone,3,75000
2021-12-28,Male,Headphones,2,4000
2021-09-06,Female,Laptop,4,240000
2019-09-22,Male,Keyboard,5,7500
2020-02-19,Male,Laptop,5,300000
2020-08-01,Female,Mouse,4,4000
2019-01-02,Male,Headphones,3,6000
2021-01-29,Female,Monitor,1,8000
2020-10-13,Female,Headphones,2,4000
2019-04-17,Male,Laptop,3,180000
2020-01-25,Male,Keyboard,2,3000
2020-09-27,Female,Headphones,4,8000
2018-10-29,Male,Headphones,1,2000
2019-05-20,Female,Smartphone,4,100000
2018-10-22,Female,Tablet,1,30000
2018-08-23,Male,Monitor,4,32000
2019-01-24,Male,Headphones,2,4000
2021-07-30,Female,Headphones,3,6000
2018-12-17,Male,Laptop,1,60000
2021-08-11,Female,Headphones,3,6000
2020-11-02,Male,Monitor,4,32000
2019-11-21,Female,Monitor,4,32000
2021-01-08,Female,Laptop,3,180000
2018-12-13,Female,Mouse,5,5000
2021-09-02,Female,Headphones,4,8000
2019-04-17,Male,Laptop,5,300000
2021-01-09,Female,Headphones,3,6000
2019-07-10,Male,Keyboard,3,4500
2018-07-01,Male,Smartphone,3,75000
2019-10-28,Male,Headphones,4,8000
2018-03-18,Female,Keyboard,2,3000
2020-05-04,Female,Mouse,1,1000
2019-11-04,Female,Headphones,4,8000
2021-11-05,Male,Headphones,2,4000
2019-04-05,Male,Smartphone,3,75000
2020-12-27,Male,Tablet,2,60000
2019-06-12,Female,Monitor,5,40000
2019-09-01,Female,Keyboard,2,3000
2021-04-22,Male,Monitor,4,32000
2021-09-07,Female,Laptop,2,120000
2019-12-22,Female,Tablet,3,90000
2018-05-17,Female,Keyboard,1,1500
2018-09-08,Male,Keyboard,4,6000
2018-12-29,Male,Tablet,4,120000
2020-08-15,Male,Laptop,1,60000
2021-07-28,Male,Mouse,4,4000
2018-07-19,Male,Mouse,4,4000
2020-06-27,Male,Tablet,3,90000
2018-05-25,Female,Laptop,5,300000
2020-05-24,Male,Headphones,2,4000
2018-06-29,Female,Headphones,3,6000
2018-03-12,Female,Keyboard,2,3000
2019-02-12,Male,Tablet,1,30000
2020-12-15,Female,Headphones,3,6000
2019-02-15,Female,Laptop,2,120000
2020-05-06,Female,Keyboard,2,3000
2019-09-10,Male,Smartphone,5,125000
2018-11-14,Female,Monitor,2,16000
2019-01-27,Female,Smartphone,3,75000
2020-06-14,Female,Monitor,5,40000
2018-03-16,Male,Laptop,1,60000
2020-08-12,Female,Laptop,5,300000
2019-07-12,Male,Monitor,5,40000
2021-03-03,Male,Tablet,2,60000
2019-04-26,Female,Laptop,1,60000
2020-04-02,Female,Mouse,4,4000
2020-08-08,Female,Laptop,2,120000
2021-09-14,Male,Monitor,4,32000
2021-12-29,Female,Smartphone,2,50000
2020-01-30,Male,Tablet,3,90000
2018-06-06,Male,Tablet,4,120000
2019-04-13,Male,Headphones,2,4000
2020-10-23,Female,Smartphone,1,25000
2018-08-22,Male,Laptop,4,240000
2020-07-20,Male,Tablet,4,120000
2018-08-23,Male,Mouse,3,3000
2019-05-29,Female,Headphones,5,10000
2021-11-28,Male,Tablet,2,60000
2019-11-01,Female,Monitor,4,32000
2019-03-23,Female,Tablet,1,30000
2021-01-14,Female,Smartphone,1,25000
2019-02-18,Female,Smartphone,3,75000
2019-08-10,Male,Monitor,2,16000
2020-05-22,Female,Headphones,2,4000
2018-07-02,Female,Mouse,2,2000
2021-07-10,Male,Monitor,2,16000
2020-02-07,Female,Keyboard,4,6000
2019-05-29,Male,Mouse,1,1000
2018-07-27,Female,Mouse,3,3000
2019-09-26,Female,Mouse,4,4000
2018-05-12,Male,Laptop,5,300000
2020-05-26,Female,Mouse,4,4000
2021-08-16,Male,Monitor,4,32000
2021-11-19,Male,Headphones,5,10000
2021-03-26,Male,Smartphone,1,25000
2020-10-04,Female,Smartphone,2,50000
2020-10-19,Male,Laptop,2,120000
2020-09-01,Female,Keyboard,3,4500
2019-07-01,Male,Tablet,3,90000
2020-08-29,Female,Headphones,4,8000
2020-02-27,Female,Smartphone,2,50000
2020-04-06,Male,Mouse,1,1000
2018-07-29,Female,Smartphone,3,75000
2019-04-19,Female,Tablet,4,120000
2020-05-31,Male,Headphones,1,2000
2018-05-05,Female,Laptop,5,300000
2018-12-22,Male,Monitor,4,32000
2019-11-28,Male,Mouse,5,5000
2020-08-04,Male,Monitor,2,16000
2020-02-07,Female,Mouse,3,3000
2019-10-28,Female,Tablet,5,150000
2018-12-10,Male,Laptop,5,300000
2021-06-25,Male,Headphones,4,8000
2018-01-13,Female,Smartphone,4,100000
2021-05-20,Female,Mouse,3,3000
2021-10-07,Female,Keyboard,1,1500
2019-09-23,Female,Tablet,1,30000
2021-04-16,Male,Headphones,4,8000
2018-07-12,Male,Smartphone,2,50000
2018-07-14,Female,Laptop,4,240000
2018-03-14,Female,Keyboard,5,7500
2020-08-23,Female,Headphones,1,2000
2018-04-15,Female,Headphones,5,10000
2020-05-18,Male,Monitor,2,16000
2021-06-07,Female,Keyboard,2,3000
2019-04-28,Male,Monitor,2,16000
2018-01-06,Female,Smartphone,1,25000
2018-08-15,Male,Smartphone,1,25000
2018-07-07,Male,Laptop,5,300000
2019-04-16,Male,Tablet,2,60000
2020-04-11,Male,Headphones,5,10000
2020-03-23,Male,Keyboard,3,4500
2021-09-02,Female,Mouse,2,2000
2021-12-07,Male,Smartphone,1,25000
2019-12-17,Male,Tablet,2,60000
2019-01-03,Female,Mouse,4,4000
2021-07-17,Male,Monitor,1,8000
2021-10-19,Male,Tablet,3,90000
2021-01-05,Female,Mouse,3,3000
2018-12-08,Female,Laptop,1,60000
2020-06-01,Female,Headphones,2,4000
2018-09-26,Male,Keyboard,5,7500
2020-02-18,Female,Monitor,2,16000
2020-08-29,Female,Monitor,4,32000
2021-03-03,Female,Monitor,1,8000
2018-11-05,Male,Keyboard,4,6000
2019-11-28,Female,Headphones,1,2000
2018-07-21,Male,Smartphone,1,25000
2020-09-03,Male,Laptop,5,300000
2018-01-25,Female,Headphones,4,8000
2021-07-30,Male,Laptop,2,120000
2018-06-18,Male,Laptop,1,60000
2020-07-21,Female,Headphones,1,2000
2019-06-30,Female,Monitor,5,40000
2021-03-25,Female,Monitor,4,32000
2021-08-07,Female,Laptop,4,240000
2018-03-01,Female,Smartphone,2,50000
2020-10-06,Male,Keyboard,2,3000
2019-04-06,Male,Tablet,2,60000
2019-09-23,Female,Headphones,4,8000
2018-01-26,Female,Mouse,3,3000
2018-07-10,Male,Mouse,5,5000
2021-07-22,Male,Smartphone,5,125000
2018-04-03,Male,Laptop,5,300000
2021-11-09,Male,Keyboard,2,3000
2018-11-11,Female,Smartphone,5,125000
2020-06-22,Female,Smartphone,1,25000
2018-08-16,Male,Mouse,3,3000
2019-10-12,Female,Monitor,1,8000
2018-11-04,Female,Keyboard,4,6000
2021-07-16,Female,Headphones,4,8000
2021-04-22,Male,Laptop,2,120000
2018-12-13,Male,Headphones,4,8000
2019-03-08,Female,Keyboard,3,4500
2018-12-17,Female,Mouse,1,1000
2018-04-07,Female,Tablet,3,90000
2018-06-05,Male,Headphones,2,4000
2019-08-01,Male,Smartphone,1,25000
2021-09-17,Female,Smartphone,2,50000
2021-02-11,Male,Tablet,2,60000
2020-05-19,Male,Monitor,5,40000
2020-04-28,Male,Tablet,1,30000
2021-08-11,Female,Tablet,2,60000
2019-06-23,Male,Smartphone,5,125000
2020-05-01,Male,Monitor,3,24000
2020-05-29,Female,Smartphone,3,75000
2018-08-25,Male,Mouse,3,3000
2020-08-14,Female,Monitor,3,24000
2018-03-05,Male,Mouse,1,1000
2019-05-29,Male,Smartphone,3,75000
2019-01-14,Female,Headphones,3,6000
2018-02-01,Female,Smartphone,4,100000
2019-12-17,Male,Smartphone,2,50000
2021-10-09,Male,Tablet,2,60000
2020-11-30,Male,Keyboard,4,6000
2020-12-26,Female,Laptop,5,300000
2020-12-09,Female,Smartphone,2,50000
2021-03-19,Male,Smartphone,5,125000
2020-11-15,Female,Monitor,4,32000
2021-12-04,Female,Laptop,1,60000
2018-01-17,Female,Tablet,4,120000
2018-11-21,Male,Laptop,1,60000
2018-10-22,Female,Laptop,4,240000
2018-07-16,Female,Headphones,2,4000
2018-01-21,Male,Smartphone,3,75000
2021-03-26,Male,Smartphone,1,25000
2018-09-04,Female,Headphones,5,10000
2019-08-16,Male,Keyboard,5,7500
2019-10-02,Male,Headphones,2,4000
2021-03-01,Male,Laptop,2,120000
2019-08-21,Female,Smartphone,4,100000
2019-06-28,Female,Tablet,4,120000
2018-03-11,Male,Tablet,4,120000
2021-02-03,Male,Headphones,5,10000
2019-04-21,Female,Headphones,1,2000
2021-06-01,Male,Keyboard,1,1500
2018-05-21,Female,Tablet,1,30000
2020-04-12,Female,Laptop,1,60000
2018-02-12,Male,Monitor,4,32000
2021-11-28,Female,Laptop,5,300000
2019-11-10,Male,Headphones,5,10000
2018-12-16,Female,Tablet,1,30000
2020-12-19,Male,Smartphone,3,75000
2021-02-04,Female,Tablet,1,30000
2019-04-18,Male,Mouse,2,2000
2020-04-23,Male,Keyboard,4,6000
2020-09-13,Female,Monitor,1,8000
